00:00 ~ 00:07 -  으 으
00:13 ~ 00:30 -  안녕하십니까 코틀린을 사용한 스마트 프로그래밍에 대해서 지금부터 강의를 시작하겠습니다. 제일 처음에는요, Kotlin 이라고 하는 언어 개요에 대해서 살펴보도록 하겠습니다.
00:20 ~ 00:40 - kit Kotlin 을 사용한 스마트 앱 프로그래밍 개요 오병우 컴퓨터공학과 국립금오공과대학교 Kumoh National Institute of Teehnology
00:30 ~ 00:38 -  자 이번 강의는요 코틀린을 사용한 스마트 앱 프로그래밍 제목이 그렇게 되구요
00:38 ~ 00:45 -  원래는 컴퓨터공학과 3학년 2학기에 스마트 앱 프로그래밍이라고 하는 과목이 있는데
00:40 ~ 01:00 - 강의 개요 Kotlin을 스마트앱 프로그래밍 컴퓨터공학과 3학년 2학기 선수 과목 Java 프로그래밍 및 C++프로그래밍 데이터베이스 LMS-내 강의실-공개강좌-컴퓨터공학과 (동영상 강좌) (KOCW에 서도 제공) - 객체지향프로그래밍-객체지향프로그래밍응용연계교육 동영상 Visual C# GUI 프로그래밍 동영상 웹 프로그래밍-데이터베이스 연계교육 동영상 안드로이드 심화 프로그래밍 강의 범위 언어 안드로이드 프로그래밍 Department of Computer Engineering 2 institute of Technology
00:45 ~ 00:49 -  여태까지는 그거를 자바를 가지고 프로그래밍을 했었습니다
00:49 ~ 00:54 -  그래서 그거를 지금부터는 코틀린을 가지고
00:54 ~ 01:00 -  사용을 해 가지고 앱을 개발하도록 그렇게 바꿨습니다.
01:00 ~ 01:09 -  장점이 굉장히 많기 때문에 음 여러분들 걱정이 되실 텐데요 아 나는 코틀린이라는 언어를 들어본 적도 없고
01:09 ~ 01:19 -  자바나 뭐 슈퍼필드 잘 못하는데 할 수 있을까 생각하실 수도 있는데요 오히려 그 자바나 c++를 모르더라도 코틀린 만 알면은 잘
01:19 ~ 01:21 -  하실 수 있으니까 굉장히 좋구요.
01:21 ~ 01:30 -  만약에 자바나 C++ 이런거에 또 잘 하신다 그러면은 코드 틀린도 몇 개 하지만 좀 주의하시면 잘 따져
01:30 ~ 01:38 -  이번 강의를 통해 들어보시고요. 제가 여기서 모든 문법을 다 설명한다는 것은 무리가 있을 거고요.
01:38 ~ 01:49 -  강의를 계속 진행을 하면서 16강까지 가면서 거기서 중간중간에 코틀린 문법을 여러분들이 계속 쓰시다 보면 아마 익히게 되실 거라고 생각이 됩니다.
01:49 ~ 01:52 -  선수 과목에는 j�� 프로그래밍하고
01:52 ~ 01:55 -  C++ 프로그래밍이 있을 수 있고요.
01:55 ~ 02:00 -  그 다음에 데이터베이스라고 하는 과목에서
02:00 ~ 02:02 -  서버 구축하는 내용이 나오기 때문에
02:02 ~ 02:05 -  그런 데이터베이스를 들으시면 좋을 것 같은데요
02:05 ~ 02:09 -  잘 모르시겠다 그래도 크게 걱정하실 필요는 없습니다
02:09 ~ 02:15 -  학교 내에 있는 LMS 내 강의실의 공개강좌
02:15 ~ 02:17 -  거기에 보시면 컴퓨터공학과 탭이 있는데요
02:17 ~ 02:24 -  거기서 이런 강의들을 여러분이 보시면 되겠고 제가 그 다음에 만약에 어떤 특정한 강의를 하는데
02:20 ~ 02:40 - I
02:24 ~ 02:27 -  거기서 필요한 내용이 있다라고 하면
02:27 ~ 02:30 -  그때 첫 장에서 어떤 어떤 것을 들을 수 있는지
02:30 ~ 02:35 -  주시면 된다 라고 여기에 있는 몇 장을 들으면 된다 이렇게 알려 드리도록 하겠습니다
02:35 ~ 02:44 -  만약에 그 금호공대 학생이 아니시고 ko cw 에서 들으시는 분들도 마찬가지로 이 강의들이 전부 다 ko cw 에 올려져 있으니까요
02:44 ~ 02:48 -  제목으로 검색해서 보시면 되겠습니다
02:48 ~ 02:51 -  객체지향 프로그래밍 객체지향 프로그래밍 응용 이�체지향 프로그래밍 응용이라고 하는 것은
02:51 ~ 02:54 -  뒤에 응용이 붙었느냐, 붙지 않았느냐 그 차이죠.
02:54 ~ 03:00 -  그래서 객체지향 프로그래밍, 예를 들면 C++를 배운 학생들이 어떻게 하면
03:00 ~ 03:05 -  mfc 라든지 아니면 c 샵 이런 프로그래밍 어떻게 할지
03:05 ~ 03:15 -  GUI 프로그래밍 어떻게 할지 적어 놓은 거구요. 그래서 이걸 먼저 만들었고 그 뒤에 비주얼 c 샵 GUI 프로그래밍 동영상을 제작했습니다.
03:15 ~ 03:20 -  그래서 여기서는 아예 GUI 프로그래밍에 특화되어 있는데요.
03:20 ~ 03:25 -  여기서도 마찬가지로 비주얼 C샷만 다루고 있는 것은 아니고
03:20 ~ 03:40 - 심화
03:25 ~ 03:30 -  다양한 것들을 MFC 같은 것들을 다루고 있으니까요.
03:30 ~ 03:35 -  참조해 보시면 좋을 거라고 생각이 되구요 그 다음에 아까 그 데이터베이스 말씀을 드렸었는데
03:35 ~ 03:42 -  이론 부분은 들어 있지 않구요 전부 다 프로그래밍 쪽만 들어 있는데 웹프로그래밍 데이터베이스 연계 교육 등의 사항이 있으니까요
03:42 ~ 03:49 -  프로그래밍 하는 방법 여기서 보시면 되겠습니다 그 다음에 안드로이드 심화 프로그래밍 이라고 해서 어 이거는
03:49 ~ 03:51 -  자바로 되어 있는 건데요
03:51 ~ 03:57 -  Android에서 조금 지금 강의에서 다루지 못하는 그런 내용들은
03:57 ~ 04:00 -  이 Android 심화 프로그래밍을 보시면 도움이 되실 것 같습니다.
04:00 ~ 04:07 -  이 전에 스마트 프로그래밍이라는 과목이 있었는데요
04:07 ~ 04:14 -  그것은 지금 이 코틀린을 사용한 스마트 프로그래밍을 가지고 대체 되도록 그렇게 할 것입니다
04:14 ~ 04:20 -  만약에 목차를 보시고 여기서 설명하지 않은 것이 있다 코틀린 쪽에서 설명하지 않은 것이 있다 라고 하면은
04:20 ~ 04:23 -  자바를 보시면 도움이 되실 거라고 생각이 되고요.
04:23 ~ 04:27 -  이 강의에서 하려고 하는 것은 코틀린 언어,
04:27 ~ 04:30 -  그 다음에 안드로이드 프로그래밍 이렇게
04:30 ~ 04:35 -  그래서 Kotlin을 사용해서 안드로이드 프로그래밍을 하겠다는 거죠.
04:35 ~ 04:42 -  Kotlin 언어라고 하는 것은 역사는 여러분이 아실 필요는 없고요.
04:40 ~ 05:00 - 공개는 2011년 Android 공식 개발 언어로 2017년 추가됨 2014년 iOS에서는 기존 Objective-C에 Swift 추가 현대 언어 특징 갖춤 간결한 코드 높은 표현력 생산성 향상 Null Pointer Exception (NPE) 방지 익숙하지 않은 ?를 사용한 문법 이론 보다는 실리 Getter/Setter를 사용하지 않고 default visibility 가 public for loop 문법이 다름 3
04:42 ~ 04:53 -  공개는 2011년도에 됐는데 이때보다 안드로이드에서 공식 개발 언어로 선택이 되면서 더 많은 관심을 끌게 됐죠
04:53 ~ 05:00 -  2017년도에 그런 일이 있었구요 그 전에 앞서 가지고 ios 에서는 ios
05:00 ~ 05:01 -  프로그래밍을 하기 위해서는요.
05:00 ~ 05:20 - 높은 표현력
05:02 ~ 05:04 -  기존의 오브젝티브C 언어에다가
05:04 ~ 05:06 -  스위프트 언어를 추가해가지고
05:06 ~ 05:08 -  사람들한테 좀 각광을 받았습니다.
05:08 ~ 05:12 -  아무래도 이런 스위프트라든지 코틀린이라든지
05:12 ~ 05:14 -  이런 것들은 현대 언어의 특징을 갖추고 있어가지고
05:14 ~ 05:18 -  프로그램을 개발하는데 상당히 좀 간결하면서도
05:18 ~ 05:23 -  생산성을 높일 수 있는 장점들이 있습니다.
05:23 ~ 05:26 -  코틀린 언어의 특성을 여기저기 찾다 보시면
05:26 ~ 05:30 -  Null Point Exception을 방지하는 얘기가 나올텐데요.
05:30 ~ 05:38 -  뭔가 처음에 보면은 물음표가 굉장히 많이 달려 있습니다. 그래서 이게 뭐냐 이렇게 생각하실지 아실 수 있는데 조금 보시다 보면 그렇게 어렵지
05:38 ~ 05:46 -  않으니깐요 나중에 보도록 하구요 그 다음에 이 쿨틀린 언어는 어떤 프로그래밍 언어적인 이론 보다는 좀
05:40 ~ 06:00 - 않은?를
05:46 ~ 05:52 -  실리를 챙겼다 라고 보시면 되겠습니다 그래서 객체지향 개념을 정확히 지키려면
05:52 ~ 05:54 -  데이터를 보호를 하고
05:54 ~ 05:56 -  인캡슐레이션 해놓고
05:56 ~ 06:00 -  그 다음에 public으로 getter, setter를 가지고
06:00 ~ 06:06 -  이 Kotlin 언어에서는 default visibility, 접근 지정자가 보인다고 하는데요.
06:06 ~ 06:11 -  default visibility가 public으로 되어 있습니다.
06:11 ~ 06:15 -  아무것도 지정하지 않으면 그냥 public 이라는 거죠.
06:15 ~ 06:20 -  이래서 쉽게 쓸 수 있도록 그렇게 해놨고요.
06:20 ~ 06:25 -  그 다음에 대표적으로 for loop 같은 것이 약간 좀 다릅니다. 우리가 맨날 쓰던
06:25 ~ 06:30 -  for loop가 안되니까 이게 왜 안되지 하시면은
