00:00 ~ 00:26 -  안녕하세요 안녕하세요. 웹프로그래밍 강의입니다.
00:26 ~ 00:29 -  이번 시간에는 HTML에 대해서
00:30 ~ 00:33 -  살펴보도록 하겠습니다
00:37 ~ 00:40 -  매번 중복되는 내용이니깐요 이거 하시고요
00:40 ~ 00:47 -  보시고요 그 다음에 콜렙 들어가셔서 보시면 되겠습니다
00:48 ~ 01:00 -  자 강의 개요인데요. HTML에 관해서는 굉장히 많은, HTML 뿐만이 아니고 웹 프로그래밍에 대해서는 굉장히 많은
01:00 ~ 01:09 -  사람들이 관심을 가지고 있고 많이 공부하다 보니까 굉장히 그 뛰어나신 훌륭하신 분들이 유튜브 라든지 뭐 책이 라든지 사이트 뭐
01:09 ~ 01:19 -  블록 이런 것들을 굉장히 잘 만들어 놓으신 분들이 많습니다 그래서 어 만약에 제 강의가 뭔가 좀 부족하고 뭔가
01:19 ~ 01:22 -  어 잘 모르겠다다고 하셨을 때는
01:22 ~ 01:25 -  다양한 자료들을 찾아보시면
01:25 ~ 01:30 -  굉장히 또 좋은 도움이 될 거라고 생각이 됩니다
01:30 ~ 01:38 -  그 중에서 제가 좀 이런 뭔가 웹 기술이 라든지 이런거를 좀 공부를 할 때
01:38 ~ 01:49 -  어 좀 자주 참고하는 사이트 중에 하나가 이 w3 스쿨즈 라고 하는 w3스쿨즈 닷컴 이라고 하는 이 사이트입니다
01:49 ~ 01:52 -  아 물론 여기도 저랑 아무 관련 없고요
01:52 ~ 01:55 -  여기 여러분들이 한번 접속할 때마다
01:55 ~ 01:57 -  저한테 돈 들어오는 거 아니니깐요
01:57 ~ 02:00 -  만약에 제가 그런 게 있다라고 그러면
02:00 ~ 02:04 -  여러분들한테 말씀드릴 텐데 전혀 그런 거 없습니다.
02:04 ~ 02:08 -  자, 그래서 어쨌든 이 w3schools.com이라고 하는 곳이
02:08 ~ 02:13 -  굉장히 좀 간략하면서도 좀 좋은 내용으로 되어 있는 것 같아요.
02:13 ~ 02:16 -  그래서 여러 가지, 굉장히 많은 것을 다루고 있는데
02:16 ~ 02:23 -  한번 좀 들어가셔서 여러분들이 관심 있는 것이 있는지 찾아보셔서 그런 것 좀 공부해 보시는 것도 좋을 거라고 생각합니다.
02:23 ~ 02:30 -  영어로 되어 있는데 굉장히 영어가 이렇게 간결하게 되어 있기 때문에
02:30 ~ 02:35 -  때문에 굉장히 좀 뭐 보기에 어렵지 않으실 거라고 생각이 되고 만약에 좀
02:35 ~ 02:40 -  어렵다 그러면 번역 요즘에 되죠 그래서 번역 돌려서 보시면 그렇게 크게
02:40 ~ 02:45 -  어렵지 않을 거라고 생각이 됩니다 그래서 특별하게 뭐 굉장히 많은 그런
02:45 ~ 02:52 -  자원들이 있지만 특별하게 이 W3스쿨즈는 굉장히 기본이 되니까 추천을 드리도록 하고요.
02:52 ~ 03:00 -  그 다음에 이번 강의에서 이번 시간에 제가 말씀드리려고 하는 것은 HTML에 대한 개요입니다.
03:00 ~ 03:07 -  그래서 앞으로 이제 계속 우리가 HTML을 어떻게 프로그래밍 하는지 배울 거기 때문에
03:07 ~ 03:11 -  자세한 내용들은 그 뒤에서 다루게 될 거고요.
03:12 ~ 03:20 -  여기서는 좀 전반적인 내용에 대해서 우리가 오늘 한번 생각해 보는 그런 시간을 가지려고 합니다.
03:24 ~ 03:28 -  HTML이라고 하는 것도 우리가 첫 번째 시간인가요?
03:28 ~ 03:29 -  살펴봤던 그 하이퍼텍스트 마케팅.
03:30 ~ 03:33 -  마크업 랭귀지 라고 하는 거에 랭귀지로 끝나죠.
03:33 ~ 03:38 -  그러니까 이게 언어다 보니까 언어라고 하는 것은 문법을 가지고 있죠.
03:38 ~ 03:42 -  그래서 그 문법에 맞춰서 사용을 해야 된다라는 겁니다.
03:42 ~ 03:46 -  그 얘기는 뭘까요? 우리가 만약에 HTML을 배운다라고 하면
03:46 ~ 03:50 -  그 문법을 배워야 된다라는 얘기가 되겠죠.
03:51 ~ 03:57 -  근데 제가 여태까지 컴퓨터 전공을 하고 나서
03:57 ~ 04:00 -  몇 년인가요? 30년?
04:00 ~ 04:06 -  넘은 것 같은데요. 어쨌든 굉장히 긴 시간 동안
04:06 ~ 04:18 -  그 전에도 물론 중학교 때부터 프로그래밍 하고 그랬었는데 어쨌든 그렇게 많은 시간을 제가 프로그래밍을 하면서 봤던 언어들
04:18 ~ 04:25 -  중에서 이 HTML 이라고 하는 것은 가장 좀 느슨한 언어입니다
04:25 ~ 04:30 -  그러니까 뭐냐면은 조금 틀려도 얘가 잘 보여줘요
04:30 ~ 04:37 -  그러니까 다른 언어는 정말 점을 콤마로 찍었다든지 아니면 하나를 빼먹었다라고 하면
04:37 ~ 04:44 -  한 줄 썼는데 예전 같은 경우에는 한 줄을 잘못 쓰면 에러가 몇십 개 나오고 그랬었거든요 예전에는
04:44 ~ 04:50 -  근데 요즘은 그렇게까지는 안 한 거, 요즘은 잘 찾아주는 편인데
04:50 ~ 04:55 -  어쨌든 HTML이라고 하는 언어는 웹브라우저에서 보게 되는데
04:55 ~ 05:00 -  그냥 뭐 대충 써도 그냥 대충 보여줍니다
05:00 ~ 05:09 -  자 그게 여러분들이 처음에 배우시는 입장에서는 조금 좋을 수도 있겠죠
05:09 ~ 05:13 -  왜냐하면 뭘 자꾸 틀렸다고 예감하면 하기 싫어지잖아요
05:13 ~ 05:19 -  근데 잘한다 잘한다고 보여주고 그러니까 상당히 좋을 것 같기도 한데
05:19 ~ 05:22 -  오히려 좀 독이 될 때도 있습니다.
05:22 ~ 05:30 -  틀린 걸 모르고 지나가는 때가 있게 되고, 그 다음에 앞에서 틀린 것은 그냥 지나갔는데 그것 때문에
05:30 ~ 05:32 -  프로그램에 영향을 받아서 뒤에 제대로 했는데
05:32 ~ 05:37 -  아무리 뒤에 한 것만 아무리 들여다봐도 잘못된 게 없는 그런 게 있을 수 있거든요.
05:38 ~ 05:43 -  그러니까 사실 컴퓨터를 전공하는 사람의 입장에서 보면
05:43 ~ 05:50 -  아주 세세한 것까지 그런 걸 잡아주는 것이 상당히 좀 도움이 된다라는 겁니다.
05:51 ~ 05:55 -  어쨌든 좋은 프로그램을 만드는 데 있어서 굉장히 도움이 많이 된다라는 거죠.
05:55 ~ 05:59 -  그냥 어떨 때는 그냥 슬렁슬렁 넘어갔는데 다른 웹브라우저, 사파리가...
06:00 ~ 06:04 -  우리가 애초에 했었는데 잘 나오는데 사파리에서 했더니 안 나오더라.
06:04 ~ 06:06 -  이러면 굉장히 굴착해지는 거죠.
06:06 ~ 06:13 -  그래서 언어다 보니까 문법에 맞춰 쓰는 연습을 여러분들이 해주셔야 된다는 거죠.
06:13 ~ 06:18 -  그러니까 이렇게 해도 되던데 물론 그렇게 쓰실 수도 있겠지만
06:18 ~ 06:22 -  가능하면 HTML도 일단 문법이 있으니까
06:22 ~ 06:25 -  그거에 맞춰서 쓰시는 것이 좋을 거다라는 거고요.
06:26 ~ 06:30 -  그 다음에 HTML의 어떤
06:30 ~ 06:41 -  기본 구조, 태그, 엘리먼트, 애트리뷰트 등을 계속 앞으로 살펴보도록 하겠습니다.
06:41 ~ 06:51 -  그 다음에 css 하고 자바스크립트와의 관계 이런 것도 여러분들이 조금 공부를 해보는 게 필요하겠죠.
06:54 ~ 06:56 -  그런 거에 대해서도 말씀을 드리고 여기 보니까 태그 엘리먼트 애트리뷰츠 이런 거는 그 뒤쪽에
06:58 ~ 07:00 -  5장인가요? 5장에 가서
07:00 ~ 07:01 -  설명을 드리도록 하겠습니다.
07:05 ~ 07:07 -  HTML, 약자는 이미 설명드렸었죠.
07:08 ~ 07:10 -  1장에서 첫 번째 시간에 말씀드렸었죠.
07:11 ~ 07:13 -  그래서 Hypertext Markup Language
07:13 ~ 07:14 -  그래서 복습을 해보면
07:14 ~ 07:16 -  Hypertext라고 하는 것은
07:16 ~ 07:18 -  뭔가 일반 텍스트보다 뛰어난 것
07:18 ~ 07:19 -  그래서 링크라든지
07:19 ~ 07:22 -  Hyperlink라고 부르는데요.
07:22 ~ 07:26 -  실제로는 앵커, A 태그를 사용하게 되는데
07:26 ~ 07:28 -  어쨌든 다른 문서로 연결한다든지
07:28 ~ 07:30 -  이미지를 쓴다든지 색깔을 입히든
07:30 ~ 07:33 -  이런 것들이 일반 텍스트에서는 할 수 없는데
07:33 ~ 07:35 -  그런 것들을 할 수 있게 해주고
07:35 ~ 07:38 -  마킹한다고 하는 것은 뭔가 이렇게 추가적인 정보를
07:38 ~ 07:42 -  형광펜으로 이렇게 색칠을 한다든지 별표를 한다든지
07:42 ~ 07:43 -  이런 거라고 말씀드렸었죠.
