00:00 ~ 00:14 -  안녕하세요. 웹프로그래밍 강의입니다.
00:14 ~ 00:17 -  이번 시간에는 첫 시간인데요.
00:17 ~ 00:23 -  HTTP라고 하는 것이 뭔지에 대해서 살펴보고요. 그 다음에 웹프로그래밍 개지에 대해서 살펴보고요.
00:23 ~ 00:30 -  그 다음에 웹프로그래밍 개요에 대해서 배우는 시간을 갖도록 하겠습니다.
00:30 ~ 00:38 -  이번 시간에는 그냥 가볍게 단어들이나 이런 것들을 여러분들이 좀 익히신다 생각을 하면 될 것 같고요.
00:38 ~ 00:45 -  뭘 외우면 좋기는 하겠지만 그렇게 외울 필요까지는 없을 거라고 생각이 되고
00:45 ~ 00:52 -  오늘 들었던 내용들이 그런 단어들이 앞으로 계속 강의 내내 사용이 되기 때문에
00:52 ~ 00:54 -  그때 조금 천천히 익혀 줄 텝니다
00:54 ~ 01:00 -  그래서 여러분들께서 조금 이번 강의는 그냥 좀 처음이니까
01:00 ~ 01:03 -  쉬어간다? 처음에는 좀 슬로우 스타트라고 할까요?
01:03 ~ 01:07 -  좀 천천히 출발하는, 그래서 마음을 조금 느긋하게 먹고
01:07 ~ 01:11 -  강의를 들어보시기를 원하겠습니다.
01:16 ~ 01:21 -  강의 개요인데요. 강의 홈페이지는 여기 말씀드린대로
01:21 ~ 01:25 -  bwh.github.io 가셔가지고요.
01:25 ~ 01:30 -  거기 카테고리즈 보시면 거기에 동영상 강의에 보면
01:30 ~ 01:36 -  있습니다 그래서 그 게시판을 여러분들이 앞으로 보시면 되겠습니다
01:36 ~ 01:44 -  단축 주소 여기 나와 있죠 그러니까 위에 있는 이거랑 똑같은 겁니다 여기 여기 이거랑 똑같은 거니까요
01:44 ~ 01:52 -  url.kr lbur4f 라고 하는 이쪽으로 들어가시게 되면
01:52 ~ 01:55 -  여기로 연결이 될 겁니다
01:55 ~ 01:58 -  자 이번 강의에서 얘기하려고 하는 웹프로그래밍이라고 하는 것은
01:58 ~ 02:00 -  컴퓨터공학과
02:00 ~ 02:10 -  2학년 1학기에 위치하고 있습니다. 그래서 2학년이다 라고 하는 것이 컴퓨터공학과의 2학년이다 라고 하면은 저희 과에서는
02:10 ~ 02:23 -  저희 학교에 저희 과에서는 그렇게 많은 컴퓨터 전공 지식을 가지고 있지 않다 라고 생각을 하고 제가 강의를 진행을 할 겁니다.
02:23 ~ 02:30 -  그러니까 여러분들께서 별다른 지식이 없고 또는 뭐 어떤 선수 과목을 듣지 않았다
02:30 ~ 02:44 -  하더라도 아니면은 아마 다른 학과 학생들께서도 타전공에서도 컴퓨터공학 전공이 아닌 분들도 들으시는데 그렇게 크게 무리는 없을 거라고 생각합니다.
02:45 ~ 02:56 -  물론 기본적인 프로그래밍 언어에 대해서 한번 해본 적이 있다든지 아니면 알고 있다 이러면 굉장히 도움이 많이 되겠죠
02:56 ~ 03:00 -  예를 들면 이런 겁니다. 이런 제어문 이라든지 변수라든지
03:00 ~ 03:09 -  함수 이런거를 들어본 적이 있다 라는 그러면은 이번 강의는 굉장히 수월하게 들으실 수 있을 거라고 생각이 되구요
03:09 ~ 03:17 -  만약에 그런 것들을 이게 도대체 뭐냐 제어 문 뭐 제어하는 건가 엘리베이터 누르면 올라오는 건가
03:17 ~ 03:24 -  뭐 이렇게 생각하실 수 있겠죠 뭐 엔트리라든지 이런 거 써 보셨으면
03:24 ~ 03:27 -  좀 쉽게 아실 것 같기는 한데
03:27 ~ 03:30 -  아무튼 프로그래밍 언어에 대해서
03:30 ~ 03:37 -  전혀 기초 지식이 없더라도 그냥 하나씩 하나씩 여러분들이 그냥 잘 몰라도 그냥 듣구요
03:37 ~ 03:44 -  계속 그냥 듣고 눈으로 보고 그 다음에 중요한 것은 여러분이 직접 프로그래밍 해봐야 됩니다
03:44 ~ 03:55 -  여러분들께서 만약에 음 운전면허 따는 그런 동영상 유튜브를 본다 라고 하면은 그거 뭐 백날 본다고 그래갖고 내가 운전 잘할 수 있게 되는 거 절대 아니겠죠
03:55 ~ 04:00 -  피아노 레슨 유튜브를 본다 그러면 그냥
04:00 ~ 04:04 -  가만히 눈으로 본다고 여러분들이 그걸 할 수 있게 되는 것은 아닙니다.
04:05 ~ 04:09 -  여러분이 필요한 것은 지금 당장 뭘 아는 것이 필요한 게 아니고요.
04:10 ~ 04:11 -  앞으로가 문제입니다.
04:11 ~ 04:15 -  그래서 여러분들께서 지금은 모르더라도 상관이 없어요.
04:15 ~ 04:21 -  여러분들이 대학생이든 아니든 어린 학생들이든 연세가 많으신 분이든
04:21 ~ 04:24 -  컴퓨터 공학과든 아니든 전혀 필요가 없고요
04:24 ~ 04:27 -  앞으로 여러분들이 어떻게 하느냐에 따라서
04:27 ~ 04:30 -  이 웹프로그래밍을 잘 할 거냐 말 거냐
04:30 ~ 04:35 -  결정이 된다는 겁니다. 웹 프로그래밍이 많이 지금 사용이
04:35 ~ 04:40 -  되고 있는데요. 그 이유, 그러니까 뭔가 컴퓨터공학 전공 분야에서
04:40 ~ 04:45 -  뭔가 많이 사용을 한다는 것은 물론 꼭 그런 건 아닐 수도
04:45 ~ 04:50 -  있겠지만 일반적으로는요. 쉬우니까 많이
04:50 ~ 04:50 -  사용이 되는 겁니다
04:50 ~ 04:54 -  만약에 진입장벽이 굉장히 높고
04:54 ~ 04:56 -  그게 좀 힘들다
04:56 ~ 04:58 -  배우기 힘들다 그러면은
04:58 ~ 05:00 -  좀 배우는 거를
05:00 ~ 05:04 -  기피하게 되고 잘 사용이 안 되는 그런 경향이 많고요.
05:04 ~ 05:10 -  뭔가 많이 사용이 된다고 하면 그거는 일반적으로는 좀 쉬운 것들이 많다는 거죠.
05:11 ~ 05:16 -  예를 들면 여러분들이 어렵게 생각하실 수 있는 물론 어렵지만요.
05:16 ~ 05:19 -  예를 들면 머신러닝, 딥러닝 이런 얘기 들어보셨을 텐데
05:19 ~ 05:25 -  그런 것들이 물론 이론적인 배경이나 이런 거를 익히는 데는
05:25 ~ 05:29 -  좀 수학적인 백그라운드도 필요하고 많이 힘들 수 있습니다.
05:29 ~ 05:30 -  근데
05:30 ~ 05:41 -  예를 들어서 이미지를 강아지 이미지 하고, 흔히 얘기하는 거 있죠. 고양이 이미지 하고, 이런 것들이 이미지를 내가 가지고 있다 라고 했으면은
05:41 ~ 05:48 -  그런거 그냥 학습시키고 이러는 것은 이미 만들어져 있는 툴을 사용하는 개념이기 때문에
05:48 ~ 05:55 -  그렇게 어렵지 않게 여러분들이 하실 수 있습니다. 필기체인식이라든지 이런 것들은 여러분들이 쉽게 할 수 있는
05:55 ~ 06:00 -  그런 좋은 툴들이 많이 마련이 되어 있습니다.
06:00 ~ 06:04 -  그런 것도 한번 도전해 보시면 좋겠죠
06:04 ~ 06:06 -  그러니까 하고 싶은 얘기는 이겁니다
06:06 ~ 06:09 -  여러분들이 겁내지 마시고
06:09 ~ 06:13 -  그냥 계속 나와 있는 강의하는 거를
06:13 ~ 06:15 -  이번 시간에는 실습하는 게 없겠지만
06:15 ~ 06:18 -  앞으로 실습한 내용이 있다라고 하면
06:18 ~ 06:22 -  그거를 한번 제가 하는 것을 보시고요
